N,radius,distance,ratio,density,,id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time,,Difference,Increase
215,0.0623020799,0.1328830502,16.0508285,0.8345330695,,Packomania Equal (215),215,16.28243481,23657200,8.26E-21,0,0s:23ms,,0.2316063037,1.44%
216,0.06216041898,0.1325608777,16.08740765,0.8346062206,,Packomania Equal (216),216,16.29594673,23706855,1.24E-20,0,0s:23ms,,0.2085390788,1.30%
217,0.06203716264,0.1322806409,16.11937035,0.8351482721,,Packomania Equal (217),217,16.29594673,23916100,1.24E-20,0,0s:23ms,,0.1765763824,1.10%
218,0.06191559492,0.1320043156,16.15101981,0.8357119148,,Packomania Equal (218),218,16.29594673,24313401,8.29E-21,0,0s:24ms,,0.1449269214,0.90%
219,0.06184615046,0.1318464994,16.16915511,0.8376632457,,Packomania Equal (219),219,16.29594673,24421645,1.25E-20,0,0s:24ms,,0.1267916179,0.78%
220,0.06163186302,0.131359667,16.22537355,0.8356670386,,Packomania Equal (220),220,16.39890905,24820656,1.25E-20,0,0s:24ms,,0.1735355029,1.07%
221,0.0614935278,0.1310455061,16.26187398,0.8357013255,,Packomania Equal (221),221,16.41404098,24550966,8.66E-21,0,0s:24ms,,0.1521669905,0.94%
222,0.06135083661,0.1307215497,16.29969623,0.835591384,,Packomania Equal (222),222,16.44272409,25264656,8.67E-21,0,0s:25ms,,0.1430278592,0.88%
223,0.06120766779,0.1303966078,16.33782231,0.8354424269,,Packomania Equal (223),223,16.47013584,25090204,1.28E-20,0,0s:25ms,,0.1323135341,0.81%
224,0.06108026841,0.1301075403,16.37189924,0.8356990183,,Packomania Equal (224),224,16.53490693,25872058,1.28E-20,0,0s:25ms,,0.1630076895,1.00%
225,0.06094196429,0.1297938189,16.40905428,0.8356326777,,Packomania Equal (225),225,16.53490693,26486981,8.79E-21,0,0s:26ms,,0.1258526511,0.77%
226,0.06079020149,0.1294496748,16.4500195,0.8351713829,,Packomania Equal (226),226,16.84505739,26331060,8.79E-21,0,0s:26ms,,0.3950378860,2.40%
227,0.06062663689,0.1290788929,16.49440001,0.8343587257,,Packomania Equal (227),227,16.84505739,26638116,1.28E-20,0,0s:26ms,,0.3506573786,2.13%
228,0.06050580114,0.1288050553,16.52734087,0.8346970494,,Packomania Equal (228),228,16.84505739,27243373,8.81E-21,0,0s:27ms,,0.3177165176,1.92%
229,0.06036322491,0.1284820401,16.56637798,0.834411633,,Packomania Equal (229),229,16.90713793,26639231,1.29E-20,0,0s:26ms,,0.3407599459,2.06%
230,0.06025392182,0.1282344736,16.59643007,0.8350230717,,Packomania Equal (230),230,16.90713793,27131235,8.82E-21,0,0s:27ms,,0.3107078549,1.87%
231,0.06009587097,0.1278765974,16.64007833,0.8342596664,,Packomania Equal (231),231,16.90713793,27233186,1.29E-20,0,0s:27ms,,0.2670596006,1.60%
232,0.05998995578,0.1276368399,16.6694572,0.8349203922,,Packomania Equal (232),232,16.90713793,29354975,8.83E-21,0,0s:29ms,,0.2376807315,1.43%
233,0.05989878324,0.1274304983,16.69482994,0.8359723665,,Packomania Equal (233),233,16.94447774,28306762,1.30E-20,0,0s:28ms,,0.2496478010,1.50%
234,0.05985752992,0.1273371469,16.70633588,0.8384041899,,Packomania Equal (234),234,16.95735314,27556729,8.96E-21,0,0s:27ms,,0.2510172530,1.50%
235,0.05983518117,0.1272865778,16.71257579,0.8413584929,,Packomania Equal (235),235,17.06514106,27610974,8.96E-21,0,0s:27ms,,0.3525652777,2.11%
236,0.05961344704,0.126784984,16.77473875,0.8386880839,,Packomania Equal (236),236,17.08468838,27917506,1.31E-20,0,0s:27ms,,0.3099496317,1.85%
237,0.0595162088,0.126565092,16.8021455,0.839496449,,Packomania Equal (237),237,17.09924013,27831402,9.25E-21,0,0s:27ms,,0.2970946278,1.77%
238,0.05942789913,0.1263654303,16.82711344,0.8405386965,,Packomania Equal (238),238,17.11315347,28258826,1.31E-20,0,0s:28ms,,0.2860400375,1.70%
239,0.05929846371,0.126072854,16.8638433,0.8403975638,,Packomania Equal (239),239,17.11972761,28403233,9.25E-21,0,0s:28ms,,0.2558843105,1.52%
240,0.05918152229,0.1258085884,16.89716589,0.8405886193,,Packomania Equal (240),240,17.14963914,29417519,1.32E-20,0,0s:29ms,,0.2524732415,1.49%
241,0.05911889931,0.1256670992,16.91506458,0.8423056657,,Packomania Equal (241),241,17.19284519,29323728,9.35E-21,0,0s:29ms,,0.2777806080,1.64%
242,0.05895484965,0.1252965379,16.96213299,0.84111318,,Packomania Equal (242),242,17.19284519,28538987,1.34E-20,0,0s:28ms,,0.2307122056,1.36%
243,0.05880946617,0.1249682483,17.00406525,0.8404284545,,Packomania Equal (243),243,17.20624054,28962455,9.48E-21,0,0s:28ms,,0.2021752893,1.19%
244,0.05868641219,0.1246904601,17.03971946,0.840359174,,Packomania Equal (244),244,17.20624054,29372014,1.37E-20,0,0s:29ms,,0.1665210751,0.98%
245,0.05855018334,0.124383015,17.07936582,0.8398903725,,Packomania Equal (245),245,17.25299972,30668318,1.38E-20,0,0s:30ms,,0.1736339056,1.02%
246,0.05843169942,0.1241156895,17.11399822,0.8399088203,,Packomania Equal (246),246,17.25299972,29022801,9.79E-21,0,0s:29ms,,0.1390015009,0.81%
247,0.05833937293,0.1239074275,17.14108242,0.8406601612,,Packomania Equal (247),247,17.37070554,29922091,9.79E-21,0,0s:29ms,,0.2296231198,1.34%
248,0.05819215445,0.1235754294,17.1844471,0.8398090563,,Packomania Equal (248),248,17.37070554,30539997,1.38E-20,0,0s:30ms,,0.1862584405,1.08%
249,0.05807055336,0.1233012803,17.22043174,0.8396751028,,Packomania Equal (249),249,17.37070554,31358280,1.13E-20,0,0s:31ms,,0.1502738087,0.87%
250,0.0579274858,0.1229788258,17.26296224,0.8388984028,,Packomania Equal (250),250,17.37070554,29991573,1.38E-20,0,0s:29ms,,0.1077433044,0.62%
251,0.05778594665,0.1226599125,17.30524562,0.8381431233,,Packomania Equal (251),251,17.37070554,30968243,1.38E-20,0,0s:30ms,,0.0654599280,0.38%
252,0.05769925745,0.1224646333,17.33124557,0.8389594861,,Packomania Equal (252),252,17.37070554,30723186,1.39E-20,0,0s:30ms,,0.0394599744,0.23%
253,0.05765032388,0.1223544197,17.34595632,0.8408606404,,Packomania Equal (253),253,17.37070554,34684181,1.15E-20,0,0s:34ms,,0.0247492211,0.14%
254,0.0574688381,0.1219457572,17.40073461,0.8388775075,,Packomania Equal (254),254,17.72628456,31812230,1.18E-20,0,0s:31ms,,0.3255499472,1.87%
255,0.05729279831,0.1215495081,17.45420069,0.8370285082,,Packomania Equal (255),255,17.72628456,31567485,1.40E-20,0,0s:31ms,,0.2720838623,1.56%
256,0.05716144068,0.1212539307,17.49431064,0.836462157,,Packomania Equal (256),256,17.83431838,32790240,1.18E-20,0,0s:32ms,,0.3400077339,1.94%
257,0.05706508651,0.1210371696,17.52384971,0.8369009934,,Packomania Equal (257),257,17.83431838,31855224,1.40E-20,0,0s:31ms,,0.3104686613,1.77%
258,0.05698693915,0.1208613995,17.54788053,0.8378578984,,Packomania Equal (258),258,17.83431838,32412293,1.18E-20,0,0s:32ms,,0.2864378459,1.63%
259,0.05688134537,0.1206239429,17.58045618,0.8379912498,,Packomania Equal (259),259,17.89235924,32362982,1.42E-20,0,0s:32ms,,0.3119030511,1.77%
260,0.05680218944,0.1204459739,17.60495519,0.8388870686,,Packomania Equal (260),260,17.89235924,33018955,1.20E-20,0,0s:33ms,,0.2874040427,1.63%
261,0.05670585836,0.1202294297,17.63486223,0.8392596913,,Packomania Equal (261),261,17.9251747,33240032,1.42E-20,0,0s:33ms,,0.2903124626,1.65%
262,0.0566157645,0.1200269463,17.66292496,0.839800335,,Packomania Equal (262),262,17.94143848,32970714,1.20E-20,0,0s:32ms,,0.2785135193,1.58%
263,0.05651837895,0.1198081186,17.69335955,0.840108043,,Packomania Equal (263),263,17.94143848,33969804,1.51E-20,0,0s:33ms,,0.2480789299,1.40%
264,0.05649279,0.119750627,17.70137393,0.8425389251,,Packomania Equal (264),264,17.95759417,33147560,1.21E-20,0,0s:33ms,,0.2562202428,1.45%
265,0.05636489628,0.1194633308,17.7415389,0.841905406,,Packomania Equal (265),265,17.95759417,33048127,1.63E-20,0,0s:33ms,,0.2160552668,1.22%
266,0.05624659943,0.119197662,17.77885259,0.841538866,,Packomania Equal (266),266,18.07030174,33332059,1.23E-20,0,0s:33ms,,0.2914491475,1.64%
267,0.05618717098,0.1190642239,17.79765706,0.8429185147,,Packomania Equal (267),267,18.07184367,33934467,1.69E-20,0,0s:33ms,,0.2741866116,1.54%
268,0.05607868647,0.1188206806,17.83208671,0.8428115125,,Packomania Equal (268),268,18.08785105,33613215,1.24E-20,0,0s:33ms,,0.2557643385,1.43%
269,0.0559799058,0.1185989708,17.86355275,0.8429787106,,Packomania Equal (269),269,18.08997918,34320989,1.69E-20,0,0s:34ms,,0.2264264364,1.27%
270,0.05590569395,0.1184324354,17.88726567,0.8438705863,,Packomania Equal (270),270,18.1410252,33949113,1.24E-20,0,0s:33ms,,0.2537595292,1.42%
271,0.0557718505,0.1181321496,17.93019222,0.8429453125,,Packomania Equal (271),271,18.17815527,35053738,1.69E-20,0,0s:35ms,,0.2479630479,1.38%
272,0.05567329446,0.1179110876,17.96193327,0.8430682748,,Packomania Equal (272),272,18.17815527,34461895,1.33E-20,0,0s:34ms,,0.2162219991,1.20%
273,0.05556648657,0.1176715688,17.99645905,0.8429241994,,Packomania Equal (273),273,18.19738352,34329439,1.70E-20,0,0s:34ms,,0.2009244751,1.12%
274,0.05544852817,0.1174071077,18.03474381,0.8424237618,,Packomania Equal (274),274,18.19738352,34503235,1.70E-20,0,0s:34ms,,0.1626397161,0.90%
275,0.05535793651,0.1172040472,18.06425714,0.842737812,,Packomania Equal (275),275,18.22469348,38252723,1.33E-20,0,0s:38ms,,0.1604363361,0.89%
276,0.05522806184,0.1169130022,18.10673717,0.8418383128,,Packomania Equal (276),276,18.22807547,36017585,1.87E-20,0,0s:36ms,,0.1213383015,0.67%
277,0.05511923622,0.116669189,18.14248652,0.8415620659,,Packomania Equal (277),277,18.35352092,35410025,1.33E-20,0,0s:35ms,,0.2110344035,1.16%
278,0.054975852,0.1163480364,18.1898045,0.8402117162,,Packomania Equal (278),278,18.36560897,35261917,1.91E-20,0,0s:35ms,,0.1758044736,0.97%
279,0.0548724887,0.1161165833,18.22406863,0.8400662146,,Packomania Equal (279),279,18.39308612,36525233,1.34E-20,0,0s:36ms,,0.1690174900,0.93%
280,0.05480284835,0.1159606718,18.24722674,0.8409386125,,Packomania Equal (280),280,18.42182539,36519187,1.91E-20,0,0s:36ms,,0.1745986496,0.96%
281,0.05469111735,0.1157105753,18.28450484,0.8405042469,,Packomania Equal (281),281,18.54148522,36411888,1.38E-20,0,0s:36ms,,0.2569803760,1.41%
282,0.05459780586,0.1155017541,18.31575435,0.8406195542,,Packomania Equal (282),282,18.54148522,38557392,1.91E-20,0,0s:38ms,,0.2257308735,1.23%
283,0.05452282525,0.1153339852,18.34094245,0.841284988,,Packomania Equal (283),283,18.64160813,37187739,1.38E-20,0,0s:37ms,,0.3006656838,1.64%
284,0.0544678429,0.1152109793,18.35945664,0.8425558384,,Packomania Equal (284),284,18.64160813,37688908,1.92E-20,0,0s:37ms,,0.2821514903,1.54%
285,0.054304888,0.1148465024,18.41454861,0.8404709452,,Packomania Equal (285),285,18.64160813,36627859,1.39E-20,0,0s:36ms,,0.2270595172,1.23%
286,0.05424665825,0.114716292,18.43431526,0.8416121805,,Packomania Equal (286),286,18.64160813,38886449,1.92E-20,0,0s:38ms,,0.2072928719,1.12%
287,0.05414529986,0.1144896776,18.46882375,0.8414017737,,Packomania Equal (287),287,18.69180601,37420122,1.92E-20,0,0s:37ms,,0.2229822635,1.21%
288,0.05406912052,0.1143193899,18.49484494,0.8419593005,,Packomania Equal (288),288,18.69180601,38716369,1.92E-20,0,0s:38ms,,0.1969610724,1.06%
289,0.05402017584,0.1142099957,18.51160209,0.843353846,,Packomania Equal (289),289,18.84293615,37248654,1.39E-20,0,0s:37ms,,0.3313340577,1.79%
290,0.05391017197,0.1139641721,18.54937507,0.8428289262,,Packomania Equal (290),290,18.84293615,38676777,1.92E-20,0,0s:38ms,,0.2935610773,1.58%
291,0.05385797767,0.1138475544,18.56735145,0.8440983918,,Packomania Equal (291),291,18.93963349,40476301,1.92E-20,0,0s:40ms,,0.3722820378,2.01%
292,0.05377159393,0.1136545755,18.59717979,0.8442842196,,Packomania Equal (292),292,18.96060504,38886103,1.93E-20,0,0s:38ms,,0.3634252459,1.95%
293,0.05369598398,0.113485694,18.6233667,0.8447947979,,Packomania Equal (293),293,18.96060504,38730016,1.41E-20,0,0s:38ms,,0.3372383382,1.81%
