packo id,N,ratio,,id,circlecount,Radius,time (ns),overlap (square units),nancount,Time,,Difference,Increase
Packomania -1/2,66,2.324362904,,Packomania -1/2 (66),66,2.416403418,5409285,9.93E-23,0,0s:5ms,,0.0920405139,3.96%
Packomania -1/2,67,2.332217263,,Packomania -1/2 (67),67,2.416403418,9518924,1.06E-22,0,0s:9ms,,0.0841861545,3.61%
Packomania -1/2,68,2.334282511,,Packomania -1/2 (68),68,2.416403418,11959418,1.20E-22,0,0s:11ms,,0.0821209072,3.52%
Packomania -1/2,69,2.341094038,,Packomania -1/2 (69),69,2.416403418,6222478,8.42E-23,0,0s:6ms,,0.0753093795,3.22%
Packomania -1/2,70,2.344495311,,Packomania -1/2 (70),70,2.41743353,73453562,8.44E-23,0,0s:73ms,,0.0729382190,3.11%
Packomania -1/2,71,2.348186028,,Packomania -1/2 (71),71,2.434594573,6951548,1.08E-22,0,0s:6ms,,0.0864085445,3.68%
Packomania -1/2,72,2.348822083,,Packomania -1/2 (72),72,2.434594573,20341211,9.07E-23,0,0s:20ms,,0.0857724897,3.65%
Packomania -1/2,73,2.347237572,,Packomania -1/2 (73),73,2.434594573,6956666,9.76E-23,0,0s:6ms,,0.0873570010,3.72%
Packomania -1/2,74,2.35004496,,Packomania -1/2 (74),74,2.439743433,7146951,1.09E-22,0,0s:7ms,,0.0896984733,3.82%
Packomania -1/2,75,2.352202465,,Packomania -1/2 (75),75,2.439743433,7253338,8.50E-23,0,0s:7ms,,0.0875409681,3.72%
Packomania -1/2,76,2.352948629,,Packomania -1/2 (76),76,2.446211033,7773062,1.11E-22,0,0s:7ms,,0.0932624035,3.96%
Packomania -1/2,77,2.357614973,,Packomania -1/2 (77),77,2.458852324,7956177,1.09E-22,0,0s:7ms,,0.1012373513,4.29%
Packomania -1/2,78,2.354416639,,Packomania -1/2 (78),78,2.458852324,7845823,9.32E-23,0,0s:7ms,,0.1044356856,4.44%
Packomania -1/2,79,2.355232406,,Packomania -1/2 (79),79,2.458852324,7837418,8.82E-23,0,0s:7ms,,0.1036199180,4.40%
