id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time
Packomania -1/5 (550),550,9.586350107,132081906,2.43E-21,0,0s:132ms
Packomania -1/5 (560),560,9.633910584,130343347,2.74E-21,0,0s:130ms
Packomania -1/5 (570),570,9.685840454,132132668,2.87E-21,0,0s:132ms
Packomania -1/5 (580),580,9.733871083,138568443,3.06E-21,0,0s:138ms
Packomania -1/5 (590),590,9.778544952,140858790,2.98E-21,0,0s:140ms
Packomania -1/5 (600),600,9.847173106,147385304,3.20E-21,0,0s:147ms
Packomania -1/5 (610),610,9.878296844,159052697,3.01E-21,0,0s:159ms
Packomania -1/5 (620),620,9.916233514,157832908,3.03E-21,0,0s:157ms
Packomania -1/5 (630),630,9.970855128,157847844,3.31E-21,0,0s:157ms
Packomania -1/5 (640),640,10.00559702,166145833,3.53E-21,0,0s:166ms
Packomania -1/5 (650),650,10.07997184,165116272,4.14E-21,0,0s:165ms
Packomania -1/5 (660),660,10.117567,167477776,3.99E-21,0,0s:167ms
Packomania -1/5 (670),670,10.1259842,173009552,3.55E-21,0,0s:173ms
Packomania -1/5 (680),680,10.18576348,174024075,3.71E-21,0,0s:174ms
Packomania -1/5 (690),690,10.24375185,191510046,3.78E-21,0,0s:191ms
Packomania -1/5 (700),700,10.28472277,186854944,4.25E-21,0,0s:186ms
Packomania -1/5 (710),710,10.29737462,186211889,3.90E-21,0,0s:186ms
Packomania -1/5 (720),720,10.33344889,198533342,3.97E-21,0,0s:198ms
Packomania -1/5 (730),730,10.39523883,200341266,3.95E-21,0,0s:200ms
Packomania -1/5 (740),740,10.43531356,207637905,3.93E-21,0,0s:207ms
Packomania -1/5 (750),750,10.50418998,208619145,4.12E-21,0,0s:208ms
Packomania -1/5 (760),760,10.51223441,213804245,4.34E-21,0,0s:213ms
Packomania -1/5 (770),770,10.58898943,216512567,3.85E-21,0,0s:216ms
Packomania -1/5 (780),780,10.6021762,222386642,4.03E-21,0,0s:222ms
Packomania -1/5 (790),790,10.64563262,227877357,4.27E-21,0,0s:227ms
Packomania -1/5 (800),800,10.67954637,229408653,4.24E-21,0,0s:229ms
Packomania -1/5 (810),810,10.72405797,233172534,4.50E-21,0,0s:233ms
Packomania -1/5 (820),820,10.78450966,240497966,3.67E-21,0,0s:240ms
Packomania -1/5 (830),830,10.81872265,239984386,4.53E-21,0,0s:239ms
Packomania -1/5 (840),840,10.8527743,246581569,4.28E-21,0,0s:246ms
Packomania -1/5 (850),850,10.88046804,249080066,4.78E-21,0,0s:249ms
Packomania -1/5 (860),860,10.93264029,251998576,4.95E-21,0,0s:251ms
Packomania -1/5 (870),870,10.99832394,266510921,4.79E-21,0,0s:266ms
Packomania -1/5 (880),880,11.01790045,265139990,4.57E-21,0,0s:265ms
Packomania -1/5 (890),890,11.07948399,270524669,4.85E-21,0,0s:270ms
Packomania -1/5 (900),900,11.07767553,274153671,4.94E-21,0,0s:274ms
Packomania -1/5 (910),910,11.10792589,281411980,4.87E-21,0,0s:281ms
Packomania -1/5 (920),920,11.15702462,287547646,5.05E-21,0,0s:287ms
Packomania -1/5 (930),930,11.17349044,289893643,5.66E-21,0,0s:289ms
Packomania -1/5 (940),940,11.20745865,293606590,5.85E-21,0,0s:293ms
Packomania -1/5 (950),950,11.26795297,304512402,5.61E-21,0,0s:304ms
Packomania -1/5 (960),960,11.28745277,310315897,5.52E-21,0,0s:310ms
Packomania -1/5 (970),970,11.32121278,309379645,6.50E-21,0,0s:309ms
Packomania -1/5 (980),980,11.3610042,307016732,6.50E-21,0,0s:307ms
Packomania -1/5 (990),990,11.40645877,316107060,5.64E-21,0,0s:316ms
Packomania -1/5 (1000),1000,11.42927809,324722966,5.26E-21,0,0s:324ms
Packomania -1/5 (1100),1100,11.73702799,383429453,7.34E-21,0,0s:383ms
Packomania -1/5 (1200),1200,12.04875608,438359180,7.00E-21,0,0s:438ms
Packomania -1/5 (1300),1300,12.34201715,496304229,8.30E-21,0,0s:496ms
Packomania -1/5 (1400),1400,12.59566073,561696900,8.52E-21,0,0s:561ms
Packomania -1/5 (1500),1500,12.86483556,614595670,9.24E-21,0,0s:614ms
Packomania -1/5 (1600),1600,13.10781613,701699341,1.04E-20,0,0s:701ms
Packomania -1/5 (1700),1700,13.37232588,759641051,1.09E-20,0,0s:759ms
Packomania -1/5 (1800),1800,13.56759994,809329426,1.23E-20,0,0s:809ms
Packomania -1/5 (1900),1900,13.79318079,862049289,1.31E-20,0,0s:862ms
Packomania -1/5 (2000),2000,14.00920357,926729916,1.33E-20,0,0s:926ms
Packomania -1/5 (3000),3000,15.7834951,1788978668,2.15E-20,0,1s:788ms
Packomania -1/5 (4000),4000,17.19442986,2758670529,3.29E-20,0,2s:758ms
Packomania -1/5 (5000),5000,18.38386809,3887161947,4.42E-20,0,3s:887ms
Packomania -1/5 (6000),6000,19.39991246,5150338699,5.92E-20,0,5s:150ms
Packomania -1/5 (7000),7000,20.29329017,6536543150,7.32E-20,0,6s:536ms
Packomania -1/5 (8000),8000,21.11324047,7953428758,8.98E-20,0,7s:953ms
Packomania -1/5 (9000),9000,21.8771281,9610304034,1.09E-19,0,9s:610ms
Packomania -1/5 (10000),10000,22.55910849,11336907337,1.22E-19,0,11s:336ms
Packomania -1/5 (11000),11000,23.23957158,13033909260,1.37E-19,0,13s:33ms
Packomania -1/5 (12000),12000,23.8376261,14991480141,1.55E-19,0,14s:991ms
Packomania -1/5 (13000),13000,24.40974434,16856140612,1.73E-19,0,16s:856ms
Packomania -1/5 (14000),14000,24.95175949,18923872730,1.90E-19,0,18s:923ms
